time_signature  energy    danceability  tempo    duration   key  liveness  speechiness  instrumentalness loudness name 			    		   type
4 		0.480391  0.68173       108.26   192.11955  11   0.141644  0.031554     0.012118 	-10.522   "Pack Up"				   pop
3 		0.081539  0.325514      63.923   252.89333  0    0.104921  0.050759     0.608767 	-20.355   "Sirens"				   pop
4 		0.439718  0.519854      99.292   350.49955  2    0.093345  0.040908     0.530208 	-9.289    "I Kissed a Girl"			   pop
4 		0.662636  0.617637      136.938  210.21855  0    0.234773  0.036729     0.0 		-5.448    "Closer"				   pop
4 		0.559507  0.76613       94.621   171.2      4    0.298171  0.028633     0.0 		-11.223   "This Kiss" 				   pop
4 		0.558982  0.701413      113.098  268.48     7    0.084311  0.035765     0.0 		-6.268    "Big Girls Don't Cry (Personal)"	   pop
4 		0.653085  0.56535       90.036   301.16     2    0.079733  0.024774     8.6e-05 	-5.082    "Partition"				   pop
3 		0.100188  0.687184      133.464  204.38159  0    0.178567  0.045807     0.0 		-13.301   "Raise Your Glass"			   pop
4 		0.405806  0.559906      130.412  259.32     3    0.265902  0.138405     0.0 		-9.452    "Do It Like A Dude"			   pop
4 		0.908273  0.590337      134.011  187.44     8    0.319117  0.033966     0.010407 	-6.834    "I Want It All"			   pop
4 		0.910745  0.21647       160.475  196.0      2    0.331692  0.100745     0.0 		-3.203    "Lay Me Down"				   pop
4 		0.068381  0.866552      103.011  43.57224   7    0.117596  0.188189     0.903207 	-11.884   "Beep"				   pop
4 		0.454684  0.519369      77.538   244.12757  1    0.072415  0.036142     0.00115 	-18.02    "Mouthwash"				   pop
3 		0.480036  0.28467       127.514  345.77333  0    0.213879  0.033679     3.6e-05 	-7.121    "Stay"				   pop
4 		0.825229  0.674387      126.992  260.85832  0    0.08254   0.057854     0.956061 	-7.5      "Want U Back"				   pop
4 		0.678025  0.69127       84.792   190.0      10   0.199817  0.042843     0.0             -6.221    "What Kind Of Man"			   pop
4 		0.293806  0.551078      205.562  188.23787  2    0.179838  0.058059     0.0             -6.391    "FourFiveSeconds"			   pop
4 		0.925508  0.38361       94.88    90.76376   2    0.327663  0.120585     1e-05           -3.552    "Run"					   pop
4 		0.430873  0.148808      95.26    307.98948  11   0.08054   0.048997     0.932123        -14.481   "Happiness"				   pop
4 		0.650244  0.691873      120.043  195.96     8    0.104139  0.026944     0.0             -7.239    "Mama Do (Uh Oh, Uh Oh)"		   pop
4 		0.731223  0.724429      89.992   184.61279  8    0.068844  0.042402     3.1e-05         -4.445    "LA Hallucinations"			   pop
4 		0.378386  0.765045      90.023   208.84898  10   0.150144  0.061362     0.000922        -9.619    "Your Drums, Your Love"		   pop
4		0.745961  0.803842      124.991  337.92     10   0.096096  0.055135     0.915555        -16.343   "Toxic"				   pop
4 		0.87015   0.442209      100.742  133.8      7    0.348809  0.035652     8.3e-05         -5.122    "On The Floor"			   pop
4 		0.907158  0.447019      159.403  220.73288  9    0.05544   0.10936      0.0             -4.246    "Price Tag"				   pop
