time_signature; energy; danceability; tempo; duration; key; liveness; speechiness; instrumentalness; loudness; acousticness; valence; song_hotttnesss;song_name; artist_name; genre
4 ; 0.305597 ; 0.129018 ; 60.694 ; 418.90667 ; 3 ; 0.31901 ; 0.038858 ; 0.317406 ; -12.019 ; 0.849412 ; 0.256214 ; 0.04991 ; The Sea Hawk ; Erich Wolfgang Korngold ; classical
5 ; 0.01137 ; 0.323422 ; 63.808 ; 248.66667 ; 5 ; 0.076626 ; 0.036987 ; 0.885108 ; -31.567 ; 0.99217 ; 0.161698 ; 0.409046 ; Reverie: L. 68 ; Claude Debussy ; classical
4 ; 0.324958 ; 0.250035 ; 82.919 ; 102.76 ; 10 ; 0.112196 ; 0.033001 ; 0.716309 ; -10.58 ; 0.859184 ; 0.188778 ; 0.184726 ; Trumpet Tune ; Henry Purcell ; classical
3 ; 0.149227 ; 0.147778 ; 84.219 ; 198.06667 ; 6 ; 0.089795 ; 0.040001 ; 0.905313 ; -16.29 ; 0.854758 ; 0.037744 ; 0.246066 ; Intermezzo from 'Cavalleria Rusticana ; Pietro Mascagni ; classical
4 ; 0.385387 ; 0.596403 ; 131.278 ; 158.70667 ; 7 ; 0.091731 ; 0.036449 ; 0.908731 ; -18.379 ; 0.980761 ; 0.926624 ; 0.0 ; Water Music, Suite No. 3 In G Major: No. 17, No. 18, No. 17 Da Capo ; Handel ; classical
4 ; 0.015322 ; 0.619019 ; 66.742 ; 124.81937 ; 0 ; 0.111528 ; 0.038648 ; 0.928489 ; -22.505 ; 0.988933 ; 0.373133 ; 0.223465 ; The Blue Danube ; Richard Strauss ; classical
4 ; 0.163945 ; 0.31873 ; 88.737 ; 903.94181 ; 2 ; 0.347127 ; 0.04397 ; 0.731503 ; -15.867 ; 0.8394 ; 0.238335 ; 0.188182 ; Symphony No. 5 In C Sharp Minor: III. Scherzo ; Gustav Mahler ; classical
3 ; 0.0477 ; 0.219683 ; 93.89 ; 771.99955 ; 2 ; 0.073527 ; 0.03633 ; 0.597892 ; -23.393 ; 0.936704 ; 0.063825 ; 0.043313 ; Uvertyura na tri cheshkiye temi (Overture on Czech themes): In Bohemia ; Mily Balakirev ; classical
3 ; 0.312677 ; 0.155921 ; 91.951 ; 106.52154 ; 4 ; 0.061268 ; 0.045081 ; 0.308977 ; -17.724 ; 0.840848 ; 0.032173 ; 0.194578 ; Tuba mirum ; Giuseppe Verdi ; classical
4 ; 0.161552 ; 0.248564 ; 135.518 ; 640.16 ; 0 ; 0.066744 ; 0.035105 ; 0.872559 ; -18.876 ; 0.97889 ; 0.062549 ; 0.223465 ; Piano Concerto No. 2, Op. 18: I. Moderato - Allegro ; Sergei Rachmaninoff ; classical
3 ; 0.056616 ; 0.135555 ; 95.666 ; 302.97351 ; 10 ; 0.108335 ; 0.042558 ; 0.869345 ; -24.719 ; 0.967802 ; 0.03761 ; 0.237338 ; Andante ; Franz Joseph Haydn ; classical
3 ; 0.126273 ; 0.119887 ; 95.544 ; 310.42667 ; 9 ; 0.111641 ; 0.041168 ; 0.850668 ; -21.277 ; 0.979847 ; 0.033899 ; 0.068649 ; Violin Concerto No. 1 in F-Sharp Minor, Op. 14: II. Preghiera - Larghetto ; Henryk Wieniawski ; classical
